ProviderID,OrganizationName,ShortName,OrganizationType,Website,TrainingPortal,Phone,Email,StreetAddress,City,State,ZIP,County,CountiesServed,DeliveryArea,Description,AIProgramSummary,Facebook,LinkedIn,YouTube,Status,CreatedDate,ModifiedDate,LastVerified
PROV-0001,University of New Hampshire,UNH,Public University,https://www.unh.edu,https://training.unh.edu,(603) 862-1234,,105 Main Street,Durham,NH,03824,Strafford,Statewide,New Hampshire,"Public research university offering undergraduate, graduate and professional education.","Offers AI professional development, undergraduate AI programs, graduate AI certificate, AI minor and AI/ML programs.",https://www.facebook.com/UofNH,https://www.linkedin.com/school/university-of-new-hampshire/,https://www.youtube.com/user/UNHVideo,Active,2026-06-27,2026-06-27,2026-06-27

PROV-0002,Southern New Hampshire University,SNHU,Private University,https://www.snhu.edu,https://www.snhu.edu,(800) 668-1249,,2500 North River Road,Manchester,NH,03106,Hillsborough,National,Online + Campus,"Private nonprofit university serving campus and online students.","Institution-wide AI initiative with faculty, staff and student AI training plus AI-enabled academic programs.",https://www.facebook.com/snhu,https://www.linkedin.com/school/southern-new-hampshire-university/,https://www.youtube.com/user/snhuoncampus,Active,2026-06-27,2026-06-27,2026-06-27

PROV-0003,Rivier University,Rivier,Private University,https://www.rivier.edu,https://www.rivier.edu/academics/all-programs/m-s-applied-artificial-intelligence/,(603) 888-1311,,420 South Main Street,Nashua,NH,03060,Hillsborough,Regional,New England,"Private university with graduate and professional programs.","Offers M.S. in Applied Artificial Intelligence in both online and on-campus formats.",,, ,Active,2026-06-27,2026-06-27,2026-06-27

PROV-0004,Dartmouth College,Dartmouth,Private University,https://home.dartmouth.edu,https://home.dartmouth.edu,(603) 646-1110,,1 Rope Ferry Road,Hanover,NH,03755,Grafton,National,Campus,"Research university and birthplace of the Dartmouth AI Conference.","AI integrated across engineering, business, medicine and liberal arts with new AI tracks and concentrations.",,, ,Active,2026-06-27,2026-06-27,2026-06-27

PROV-0005,Plymouth State University,PSU,Public University,https://www.plymouth.edu,https://www.plymouth.edu,(603) 535-5000,,17 High Street,Plymouth,NH,03264,Grafton,Statewide,New Hampshire,"Public university in the University System of New Hampshire.","AI-related instruction through Computer Science, Data Analytics and faculty research. Continuing AI offerings under review.",Active,2026-06-27,2026-06-27,2026-06-27

PROV-0006,Keene State College,Keene State,Public University,https://www.keene.edu,https://www.keene.edu,(603) 358-2000,,229 Main Street,Keene,NH,03435,Cheshire,Statewide,New Hampshire,"Public liberal arts college in the University System of New Hampshire.","Computer Science and Data Analytics programs with emerging AI applications.",Active,2026-06-27,2026-06-27,2026-06-27

PROV-0007,Saint Anselm College,Saint Anselm,Private College,https://www.anselm.edu,https://www.anselm.edu,(603) 641-7000,,100 Saint Anselm Drive,Manchester,NH,03102,Hillsborough,Regional,New England,"Private liberal arts college.","AI topics incorporated within Computer Science and business curriculum. Dedicated AI offerings under review.",Active,2026-06-27,2026-06-27,2026-06-27

PROV-0008,Franklin Pierce University,FPU,Private University,https://franklinpierce.edu,https://franklinpierce.edu/academics/programs/,(603) 899-4000,,40 University Drive,Rindge,NH,03461,Cheshire,Regional,New England,"Private university with undergraduate and graduate programs.","Technology programs reviewed for AI curriculum. Dedicated AI degree not yet identified.",Active,2026-06-27,2026-06-27,2026-06-27

PROV-0009,Colby-Sawyer College,CSC,Private College,https://www.colby-sawyer.edu,https://www.colby-sawyer.edu,(603) 526-3000,,541 Main Street,New London,NH,03257,Merrimack,Regional,New England,"Private liberal arts and sciences college.","Technology and business programs being reviewed for AI-related offerings.",Active,2026-06-27,2026-06-27,2026-06-27

PROV-0010,Community College System of New Hampshire,CCSNH,Community College System,https://www.ccsnh.edu,https://ccsnhtraining.org,(603) 230-3500,,26 College Drive,Concord,NH,03301,Merrimack,Statewide,New Hampshire,"Statewide community college system serving seven colleges.","Coordinates workforce training, continuing education, WorkReadyNH and AI-related community college initiatives.",Active,2026-06-27,2026-06-27,2026-06-27

PROV-0011,Manchester Community College,MCC,Community College,https://mccnh.edu,https://mccnh.edu,(603) 206-8000,,1066 Front Street,Manchester,NH,03102,Hillsborough,Regional,South Central NH,"Community college with strong cybersecurity and workforce education.","Member of the Intel/Dell/AACC AI Incubator Network and expanding AI curriculum.",Active,2026-06-27,2026-06-27,2026-06-27

PROV-0012,Nashua Community College,NCC,Community College,https://nashuacc.edu,https://nashuacc.edu,(603) 578-8908,,505 Amherst Street,Nashua,NH,03063,Hillsborough,Regional,South Central NH,"Community college emphasizing analytics and workforce education.","Offers a Data Analytics pathway with applied AI coursework.",Active,2026-06-27,2026-06-27,2026-06-27

PROV-0013,NHTI – Concord's Community College,NHTI,Community College,https://www.nhti.edu,https://www.nhti.edu/workforce/,(603) 230-4000,,31 College Drive,Concord,NH,03301,Merrimack,Statewide,New Hampshire,"Community college with extensive workforce education.","Offers workforce education and institutional AI literacy initiatives.",Active,2026-06-27,2026-06-27,2026-06-27

PROV-0014,River Valley Community College,RVCC,Community College,https://www.rivervalley.edu,https://www.rivervalley.edu/cwf/,(603) 542-7744,,1 College Place,Claremont,NH,03743,Sullivan,Western NH,"Community college focused on workforce development.","Provides continuing education, employer training and WorkReadyNH.",Active,2026-06-27,2026-06-27,2026-06-27

PROV-0015,New Hampshire State Library,NHSL,Government,https://www.nhsl.dncr.nh.gov,https://nhsl.libguides.com/emerging-tech/ai,(603) 271-2144,,20 Park Street,Concord,NH,03301,Merrimack,Statewide,New Hampshire,"State library supporting public libraries and digital literacy.","Maintains AI and Emerging Technology resource guides and training.",Active,2026-06-27,2026-06-27,2026-06-27

PROV-0016,Center for Applied Technologies,CAT,Nonprofit,https://nh-cat.org,https://nh-cat.org/data-ai-commons,,,Concord,NH,,,Statewide,New Hampshire,"Nonprofit advancing applied technology and AI collaboration.","Hosts the NH Data & AI Commons and statewide AI ecosystem initiatives.",Active,2026-06-27,2026-06-27,2026-06-27

PROV-0017,AI in NH,AI in NH,Nonprofit,https://aiinnh.org,https://aiinnh.org/events,,,Concord,NH,,,Statewide,New Hampshire,"Community organization promoting AI literacy and networking.","Hosts workshops, meetups, AI Week and community education.",Active,2026-06-27,2026-06-27,2026-06-27
PROV-0018,iLearnNH,iLearnNH,Education Initiative,https://www.ilearnnh.org,https://www.ilearnnh.org/about/training-catalogue,,,New Hampshire,NH,,,Statewide,New Hampshire,"Grant-funded initiative supported by the New Hampshire Department of Education and the University System of New Hampshire.","Provides free AI literacy, blended learning, Canva, and educational technology professional development for New Hampshire K–12 educators.",Active,2026-06-27,2026-06-27,2026-06-27

PROV-0019,New Hampshire Society for Technology in Education,NHSTE,Professional Association,https://www.nhste.org,https://www.nhste.org/professional_learning,,,Concord,NH,,,Statewide,New Hampshire,"Professional association supporting educational technology across New Hampshire.","Provides AI workshops, AI guidance framework, educator professional development and AI community resources.",Active,2026-06-27,2026-06-27,2026-06-27

PROV-0020,NH AI Education Collaborative,NHAIEC,Education Collaborative,https://www.nhste.org,,,,Concord,NH,,,Statewide,New Hampshire,"Collaborative of New Hampshire education organizations.","Developed the NH K-12 AI Guidance Framework for schools and supports statewide AI adoption.",Active,2026-06-27,2026-06-27,2026-06-27
PROV-0021,New Hampshire Tech Alliance,NHTA,Nonprofit Organization,https://nhtechalliance.org,https://nhtechalliance.org,(603) 818-4232,,500 N Commercial St,Manchester,NH,03101,Hillsborough,Statewide,New Hampshire,"Statewide technology industry association supporting innovation, workforce development, and technology adoption.","Co-organizer of NH AI Week and partner on statewide AI education and community engagement.",Active,2026-06-27,2026-06-27,2026-06-27

PROV-0022,East Kingston Public Library,EKPL,Public Library,https://www.eastkingstonlibrary.org,https://www.eastkingstonlibrary.org,(603) 642-8333,info@eastkingstonlibrary.org,47 Maplevale Road,East Kingston,NH,03827,Rockingham,Local,East Kingston,"Public library offering community educational programming.","Hosts public AI literacy and AI ethics programs for residents.",Active,2026-06-27,2026-06-27,2026-06-27
PROV-0023,New Hampshire Department of Education,NHED,State Agency,https://www.education.nh.gov,https://www.education.nh.gov,(603) 271-3495,,101 Pleasant Street,Concord,NH,03301,Merrimack,Statewide,New Hampshire,"State education agency overseeing K-12 education and educator initiatives.","Supports statewide AI literacy initiatives through partnerships including iLearnNH and educator guidance.",Active,2026-06-27,2026-06-27,2026-06-27

PROV-0024,University System of New Hampshire,USNH,University System,https://www.usnh.edu,https://www.usnh.edu,(603) 862-1800,,5 Chenell Drive,Concord,NH,03301,Merrimack,Statewide,New Hampshire,"University system governing UNH, Plymouth State, Keene State and Granite State College.","Supports statewide AI education initiatives including iLearnNH and university AI programs.",Active,2026-06-27,2026-06-27,2026-06-27

PROV-0025,Christa McAuliffe Transforming, Teaching & Technology Conference,CMTTC,Annual Conference,https://www.nhste.org,https://www.nhste.org/events,,,Concord,NH,,,Statewide,New Hampshire,"Annual statewide educational technology conference.","Includes AI-focused educator sessions, workshops and demonstrations each year.",Active,2026-06-27,2026-06-27,2026-06-27

PROV-0026,NH School Administrative Unit AI Leadership Network,NH SAU AI Network,Education Network,https://www.nhste.org,https://www.nhste.org,,,Concord,NH,,,Statewide,New Hampshire,"Community of school leaders implementing AI in New Hampshire schools.","Shares AI implementation strategies, governance and policy resources.",Active,2026-06-27,2026-06-27,2026-06-27
